episode_id,timestamp,mode,contact_occurred,touchdown_time_seconds,landing_velocity_fps,fuel_remaining_units,reward,turns,min_altitude,max_speed,policy_params_json
1092,1774702059.8586886,live,True,23.1104,18.2209,0.0,-18.2209,24,2.0,75.0,"{""burn_large"": 11.33867884271403, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 9.360679466858382, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1093,1774702064.5708284,live,True,23.9497,19.7484,0.0,-19.7484,23,16.5,75.0,"{""burn_large"": 9.82463241312274, ""burn_max"": 15.851513561519212, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 32.60607958872709, ""target_v_mid_high"": 45.0}"
1094,1774702069.3540711,live,True,24.9396,24.6982,0.0,-24.6982,22,21.0,75.0,"{""burn_large"": 11.097969636510763, ""burn_max"": 14.0, ""burn_medium"": 12.0, ""burn_small"": 4.0, ""target_v_final"": 3.935514705948394, ""target_v_high"": 70.0, ""target_v_low"": 12.096462148931225, ""target_v_mid"": 32.8124857802084, ""target_v_mid_high"": 45.0}"
1095,1774702074.159553,live,True,24.3359,21.6795,0.0,-21.6795,23,7.0,75.0,"{""burn_large"": 11.325027088314851, ""burn_max"": 16.069346564833978, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.55858149637755, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1096,1774702079.00151,live,True,23.5277,18.1108,0.0,-18.1108,24,9.0,75.0,"{""burn_large"": 11.563788944106811, ""burn_max"": 18.063182276008558, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 6.206659179947494, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1097,1774702083.7185497,live,True,24.9396,24.6982,0.0,-24.6982,22,21.0,75.0,"{""burn_large"": 9.862022808232119, ""burn_max"": 20.230504845847193, ""burn_medium"": 5.621092930097932, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 17.954043810936636, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1098,1774702088.4866645,live,True,24.6043,23.0217,0.0,-23.0217,22,13.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 15.065713446205917, ""burn_medium"": 6.6067220120535595, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 32.44439302765208, ""target_v_mid_high"": 45.0}"
1099,1774702093.3192217,live,True,24.7749,23.8747,0.0,-23.8747,22,17.0,75.0,"{""burn_large"": 13.444490014593068, ""burn_max"": 14.00091254465114, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 12.205058178949145, ""target_v_mid"": 33.429747915419256, ""target_v_mid_high"": 45.0}"
1100,1774702097.9560685,live,True,23.8471,19.2354,0.0,-19.2354,22,14.5,75.0,"{""burn_large"": 10.836658013620964, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 16.857311348201346, ""target_v_mid"": 31.912679051138525, ""target_v_mid_high"": 45.0}"
1101,1774702102.7642944,live,True,24.3359,21.6795,0.0,-21.6795,23,7.0,75.0,"{""burn_large"": 10.266974228670227, ""burn_max"": 14.0, ""burn_medium"": 7.844824442870555, ""burn_small"": 4.0, ""target_v_final"": 6.849858261526194, ""target_v_high"": 70.0, ""target_v_low"": 16.269015515507217, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1102,1774702107.5020614,live,True,24.6043,23.0217,0.0,-23.0217,22,13.0,75.0,"{""burn_large"": 11.235563354513262, ""burn_max"": 14.95216194800842, ""burn_medium"": 6.941649298577222, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 16.842496779452535, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1103,1774702112.3101232,live,True,24.7329,23.6643,0.0,-23.6643,22,16.0,75.0,"{""burn_large"": 18.205189542066165, ""burn_max"": 19.86638093551956, ""burn_medium"": 7.097681469193449, ""burn_small"": 4.0, ""target_v_final"": 5.113873426981618, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1104,1774702116.9451895,live,True,23.6878,18.4391,0.0,-18.4391,23,11.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 3.449353481843448, ""target_v_high"": 70.0, ""target_v_low"": 17.53477923923171, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1105,1774702121.689005,live,True,24.98,24.8998,0.0,-24.8998,22,22.0,75.0,"{""burn_large"": 9.99714268417242, ""burn_max"": 18.579223069074857, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 14.98525339505788, ""target_v_mid"": 29.178531136293586, ""target_v_mid_high"": 45.0}"
1106,1774702126.516846,live,True,24.6904,23.4521,0.0,-23.4521,23,15.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 17.947218870924228, ""burn_medium"": 7.2014071913403175, ""burn_small"": 4.0, ""target_v_final"": 5.500304268213091, ""target_v_high"": 70.0, ""target_v_low"": 13.649959360551097, ""target_v_mid"": 32.317696076011515, ""target_v_mid_high"": 45.0}"
1107,1774702131.3820283,live,True,23.1104,18.2209,0.0,-18.2209,24,2.0,75.0,"{""burn_large"": 10.786648491918173, ""burn_max"": 14.136808413206497, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 14.56028804587314, ""target_v_mid"": 31.471875170091863, ""target_v_mid_high"": 45.0}"
1108,1774702136.2439563,live,True,24.3359,21.6795,0.0,-21.6795,23,7.0,75.0,"{""burn_large"": 10.294719366424316, ""burn_max"": 14.305186594124766, ""burn_medium"": 10.189177843650484, ""burn_small"": 4.0, ""target_v_final"": 6.570593700489631, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 33.229228148543505, ""target_v_mid_high"": 45.0}"
1109,1774702141.0235817,live,True,24.7329,23.6643,0.0,-23.6643,23,16.0,75.0,"{""burn_large"": 12.062348865071899, ""burn_max"": 14.0, ""burn_medium"": 8.528915307778314, ""burn_small"": 4.0, ""target_v_final"": 5.901234740283247, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 29.557752120597062, ""target_v_mid_high"": 45.0}"
1110,1774702145.7503843,live,True,23.5214,17.6068,0.0,-17.6068,22,8.5,75.0,"{""burn_large"": 12.596959015941456, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 5.034558912402781, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 33.27060207725948, ""target_v_mid_high"": 45.0}"
1111,1774702150.594988,live,True,24.0988,20.4939,0.0,-20.4939,23,2.0,75.0,"{""burn_large"": 9.128091333583487, ""burn_max"": 14.0, ""burn_medium"": 5.468725115733221, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 12.946005826927667, ""target_v_mid"": 32.00455414188718, ""target_v_mid_high"": 45.0}"
1112,1774702155.3888497,live,True,23.6332,18.1659,0.0,-18.1659,23,10.5,75.0,"{""burn_large"": 13.2314957812426, ""burn_max"": 14.464795835031504, ""burn_medium"": 6.0704487844050465, ""burn_small"": 4.0, ""target_v_final"": 8.74259868338602, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
1113,1774702160.083869,live,True,23.5214,17.6068,0.0,-17.6068,23,8.5,75.0,"{""burn_large"": 10.216590982690958, ""burn_max"": 14.0, ""burn_medium"": 5.693588497040717, ""burn_small"": 4.0, ""target_v_final"": 9.35787089197757, ""target_v_high"": 70.0, ""target_v_low"": 17.484207506811458, ""target_v_mid"": 33.93067999776474, ""target_v_mid_high"": 45.0}"
1114,1774702164.9184587,live,True,24.5166,22.5832,0.0,-22.5832,23,11.0,75.0,"{""burn_large"": 14.46570037569779, ""burn_max"": 15.985719884022389, ""burn_medium"": 10.668832975220663, ""burn_small"": 4.0, ""target_v_final"": 5.230962251279844, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 31.056175038922653, ""target_v_mid_high"": 45.0}"
